Token,Item Name,Variation Name,SKU,Description,Categories,Reporting Category,SEO Title,SEO Description,Permalink,GTIN,Square Online Item Visibility,Item Type,Weight (lb),Social Media Link Title,Social Media Link Description,Shipping Enabled,Self-serve Ordering Enabled,Delivery Enabled,Pickup Enabled,Price,Online Sale Price,Archived,Sellable,Contains Alcohol,Stockable,Skip Detail Screen in POS,Option Name 1,Option Value 1,Enabled Edina,Current Quantity Edina,New Quantity Edina,Stock Alert Enabled Edina,Stock Alert Count Edina,Price Edina,Enabled Excelsior,Current Quantity Excelsior,New Quantity Excelsior,Stock Alert Enabled Excelsior,Stock Alert Count Excelsior,Price Excelsior,Modifier Set - Avocado Toast,Modifier Set - Bagel,Modifier Set - Breakfast Sandwich,Modifier Set - Breakfast Sandwich (Everything Bagel),Modifier Set - Cold Foam,Modifier Set - Cortado,Modifier Set - Cortado Milk,Modifier Set - Drip coffee Milk,Modifier Set - Espresso shot,Modifier Set - Flavors,Modifier Set - Hot Or Iced,Modifier Set - Italian Soda,Modifier Set - Latte Milk,Modifier Set - Matcha,Modifier Set - Panini Side,Modifier Set - Sandwich,Modifier Set - Smoothie,Modifier Set - Smoothie Milk,Modifier Set - Smoothies add ons,Modifier Set - To-go or Here,Modifier Set - Warm,Tax - Liquor Tax (2.5%)
LHBA4EDN2FCIZ5ELDJH3COZ3,Almond Croissant,Regular,,,Bakery,Bakery,,,,,visible,Prepared food and beverage,,,,N,Y,N,Y,6,,N,,N,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N
4ASY2J5Z3GFOJCTGAORULAGG,Americano,10oz (Here),,Espresso shot over water.,Drinks,Drinks,,,,,visible,Prepared food and beverage,,,,N,Y,N,Y,4,,N,,N,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,Y,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N
KUJOGXQQ6ZYFRVSLD3SLU5RO,Americano,10oz (To Go),,,Drinks,Drinks,,,,,visible,Prepared food and beverage,,,,,,,,4,,N,,,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,Y,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N
AZ5RHXPXYAPSIVG6Y5KXZURA,Americano,16oz (Here),,,Drinks,Drinks,,,,,visible,Prepared food and beverage,,,,,,,,4.75,,N,,,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,Y,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N
TTIF6A2F6TGVMOUTXS6NA4Z3,Americano,16oz (To Go),,,Drinks,Drinks,,,,,visible,Prepared food and beverage,,,,,,,,4.75,,N,,,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,Y,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N
BKKSFOFGTWAPQYUEEEWXIIMF,Americano,16oz Iced (Here),,,Drinks,Drinks,,,,,visible,Prepared food and beverage,,,,,,,,4.75,,N,,,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,Y,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N
NSTIXVN4GQ7BBQJVDKN3RSNG,Americano,16oz Iced (To Go),,,Drinks,Drinks,,,,,visible,Prepared food and beverage,,,,,,,,4.75,,N,,,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,Y,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N
U6QHVDAH24TE7JTKQGDEANPL,Apple Cider,10oz,,,,,,,,,unavailable,Prepared food and beverage,,,,N,N,N,Y,5.25,,N,,N,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N
PQY4VXSIMCCEMM62DOHGAEUY,Apple Cider,16oz,,,,,,,,,unavailable,Prepared food and beverage,,,,,,,,6.25,,N,,,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N
W2I6E22D4UP7GEOLU4SNPSJH,Apple Fitter,Regular,,,Bakery,Bakery,,,,,visible,Prepared food and beverage,,,,N,N,N,Y,4.75,,N,,N,,N,,,N,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N
3J5TZSWIMQSVADSKJP4RBKRV,Arnold Palmer (Half Lemonade & Half Black Iced Tea),Here,,,"Non Coffee Drinks, Seasonal (Spring/Summer)",Seasonal (Spring/Summer),,,,,visible,Prepared food and beverage,,,,N,N,N,Y,6,,N,,N,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N
BFFXJF3ET6REDZKD7T5YAQY5,Arnold Palmer (Half Lemonade & Half Black Iced Tea),To Go,,,"Non Coffee Drinks, Seasonal (Spring/Summer)",Seasonal (Spring/Summer),,,,,visible,Prepared food and beverage,,,,,,,,6,,N,,,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N
LU7IEQLST3QM7PTGLGO2SV3I,Asiago Bagel,Regular,,,Bakery,Bakery,,,,,visible,Prepared food and beverage,,,,N,N,N,Y,6,,N,,N,,N,,,Y,,,,,,Y,,,,,,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N
NECKE3OVOJ2KGEF32SO4LB2S,Avocado Whip Feta on Toast,Regular,,,Breakfast,Breakfast,,,,,visible,Prepared food and beverage,,,,N,N,N,Y,12,,N,,N,,N,,,Y,,,,,,Y,,,,,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N
VCHULMNGYKYJ7Y3CPN6KVJGK,Barrel-aged Beer,Regular,,,Beer,Beer,,,,,unavailable,Physical good,,,,,,,Y,9,,Y,,N,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
